Week,AvgTone,Count
20230107,-3.23275862068966,1
20230114,-4.852431314279054,6
20230121,-4.5048462994035585,30
20230128,-1.889008353320655,5
20230204,-6.58135283363803,1
20230211,-1.6509535206763384,16
20230218,0.6977146600417767,3
20230225,-1.31332082551595,1
20230304,-1.7163483931066574,4
20230312,-2.769695175110254,16
20230319,0.5130942958549234,6
20230328,-2.9893468754517207,34
20230404,-0.0670723208373784,13
20230411,-6.999014523818494,41
20230418,0.7202952615286948,2
20230425,0.9389671361502333,3
20230502,2.16216216216216,2
20230509,-0.36191931544078343,9
20230516,-0.5962329895709295,20
20230523,-5.555178377059829,28
20230530,3.856166671507831,8
20230606,-1.579610650049763,4
20230613,-4.046813500667625,4
20230620,-5.102985638699917,3
20230627,2.8631379450385848,2
20230704,-0.8315745646150133,6
20230711,1.44092219020173,1
20230718,-9.610435687813155,57
20230725,0.6766029863855967,6
20230801,-1.4277684541662918,18
20230808,0.80213903743315,2
20230815,0.529801324503312,5
20230822,-5.079789553110979,29
20230829,2.3605744399538233,3
20230905,5.35714285714286,2
20230912,-1.7729670154250812,17
20230919,-0.17587354399911845,10
20230926,-0.14771048744461,1
20231003,1.6327630485353015,24
20231010,-2.247503191409474,5
20231017,-2.090941308520889,34
20231031,-8.078852502276776,14
20231107,-3.732152990579957,3
20231114,-2.7420951992206324,50
20231121,-0.8515392472018515,5
20231128,3.73665480427046,3
20231205,-3.0354497979320687,34
20231212,3.11769859813084,2
20231219,1.04932816442231,18
20231226,-0.6027549542044174,16
20240102,-1.2145847031929538,10
20240109,-3.6587954708086166,27
20240116,3.2010214596120234,3
20240123,0.6375874769862823,13
20240130,1.10236220472441,2
20240206,-0.48230437729652803,5
20240213,2.83569641367807,1
20240220,-2.2875816993464,1
20240227,-2.1627590628682327,9
20240305,-1.4528458596094491,11
20240312,-0.49000157468584804,14
20240319,-4.808335225886007,13
20240326,-4.55509163138235,60
20240402,3.092049793672713,7
20240409,-2.395516916913451,12
20240416,-4.549597911666873,6
20240430,0.1611149016010991,20
20240507,-4.174162337372902,23
20240514,-0.09148570116553849,13
20240521,-2.1775433909084,1
20240528,-6.2050812912983435,16
20240604,-0.78125,1
20240611,0.9233957929637755,9
20240618,1.476964953302918,13
20240625,0.8903352708347523,10
20240702,-1.77857094402438,3
20240709,-1.4386986356405702,29
20240716,-0.622889034980604,5
20240723,-6.4406779661017,2
20240730,-0.381661147051323,14
20240806,-8.856516061866671,30
20240813,-2.905971448394318,5
20240820,0.80385852090032,4
20240827,0.9067561032857178,10
20240903,-1.3201459760133263,3
20240910,0.6265996830893606,13
20240917,0.9055135968791821,9
20240924,2.9451456117398567,11
20241001,-4.4424240891213405,4
20241008,-1.36554621848739,3
20241015,0.06777981581131093,9
20241022,-5.456669526763908,5
20241029,-2.8299844933460485,38
20241105,-2.0390474812718904,31
20241119,-0.71301247771836,5
20241126,-0.498385933150618,17
20241210,-0.31897733678028206,24
20241217,-3.153175315613086,10
20241224,-0.6009381196346124,2
20241231,-5.6312237001892225,10
